Время,Канал A
(uс),(В)

-296.47997431,-1.01504600
-296.31997431,-1.01504600
-296.15997431,-0.97079380
-295.99997431,-0.92669450
-295.83997431,-0.88259530
-295.67997431,-0.83849600
-295.51997432,-0.83849600
-295.35997432,-0.75014500
-295.19997432,-0.70604570
-295.03997432,-0.66194650
-294.87997432,-0.61784720
-294.71997432,-0.61784720
-294.55997432,-0.57374800
-294.39997432,-0.48539690
-294.23997432,-0.44129770
-294.07997432,-0.39719840
-293.91997433,-0.30884730
-293.75997433,-0.30884730
-293.59997433,-0.26474810
-293.43997433,-0.17654960
-293.27997433,-0.13245030
-293.11997433,-0.08835109
-292.95997433,-0.04425184
-292.79997433,0.04394665
-292.63997433,0.04394665
-292.47997433,0.08819849
-292.31997433,0.17639700
-292.15997434,0.22049620
-291.99997434,0.26459550
-291.83997434,0.30884730
-291.67997434,0.39704580
-291.51997434,0.39704580
-291.35997434,0.44114510
-291.19997434,0.48524430
-291.03997434,0.57359540
-290.87997434,0.57359540
-290.71997434,0.61769460
-290.55997435,0.66179390
-290.39997435,0.75014500
-290.23997435,0.75014500
-290.07997435,0.79424420
-289.91997435,0.79424420
-289.75997435,0.83834340
-289.59997435,0.83834340
-289.43997435,0.92654190
-289.27997435,0.92654190
-289.11997435,0.92654190
-288.95997436,0.97079380
-288.79997436,0.97079380
-288.63997436,1.01489300
-288.47997436,1.01489300
-288.31997436,1.01489300
-288.15997436,1.01489300
-287.99997436,1.05899200
-287.83997436,1.05899200
-287.67997436,1.01489300
-287.51997436,1.01489300
-287.35997437,1.01489300
-287.19997437,1.01489300
-287.03997437,1.01489300
-286.87997437,1.01489300
-286.71997437,0.97079380
-286.55997437,0.97079380
-286.39997437,0.97079380
-286.23997437,0.92654190
-286.07997437,0.92654190
-285.91997437,0.88244270
-285.75997437,0.83834340
-285.59997438,0.79424420
-285.43997438,0.79424420
-285.27997438,0.75014500
-285.11997438,0.75014500
-284.95997438,0.66179390
-284.79997438,0.61769460
-284.63997438,0.57359540
-284.47997438,0.57359540
-284.31997438,0.48524430
-284.15997438,0.48524430
-283.99997439,0.44114510
-283.83997439,0.39704580
-283.67997439,0.35294650
-283.51997439,0.26459550
-283.35997439,0.22049620
-283.19997439,0.17639700
-283.03997439,0.13229770
-282.87997439,0.08819849
-282.71997439,0.04394665
-282.55997439,-0.00015259
-282.39997440,-0.08835109
-282.23997440,-0.13245030
-282.07997440,-0.13245030
-281.91997440,-0.22064880
-281.75997440,-0.30884730
-281.59997440,-0.30884730
-281.43997440,-0.39719840
-281.27997440,-0.44129770
-281.11997440,-0.48539690
-280.95997440,-0.52949610
-280.79997440,-0.57374800
-280.63997441,-0.61784720
-280.47997441,-0.66194650
-280.31997441,-0.70604570
-280.15997441,-0.75014500
-279.99997441,-0.79439680
-279.83997441,-0.83849600
-279.67997441,-0.83849600
-279.51997441,-0.92669450
-279.35997441,-0.92669450
-279.19997441,-0.97079380
-279.03997442,-1.01504600
-278.87997442,-1.01504600
-278.71997442,-1.05914500
-278.55997442,-1.05914500
-278.39997442,-1.05914500
-278.23997442,-1.10324400
-278.07997442,-1.10324400
-277.91997442,-1.14734300
-277.75997442,-1.10324400
-277.59997442,-1.14734300
-277.43997443,-1.14734300
-277.27997443,-1.14734300
-277.11997443,-1.14734300
-276.95997443,-1.10324400
-276.79997443,-1.14734300
-276.63997443,-1.10324400
-276.47997443,-1.10324400
-276.31997443,-1.05914500
-276.15997443,-1.01504600
-275.99997443,-1.01504600
-275.83997444,-0.97079380
-275.67997444,-0.97079380
-275.51997444,-0.92669450
-275.35997444,-0.88259530
-275.19997444,-0.83849600
-275.03997444,-0.83849600
-274.87997444,-0.75014500
-274.71997444,-0.70604570
-274.55997444,-0.66194650
-274.39997444,-0.61784720
-274.23997444,-0.57374800
-274.07997445,-0.48539690
-273.91997445,-0.44129770
-273.75997445,-0.39719840
-273.59997445,-0.30884730
-273.43997445,-0.26474810
-273.27997445,-0.17654960
-273.11997445,-0.13245030
-272.95997445,-0.04425184
-272.79997445,0.04394665
-272.63997445,0.08819849
-272.47997446,0.13229770
-272.31997446,0.22049620
-272.15997446,0.30884730
-271.99997446,0.39704580
-271.83997446,0.44114510
-271.67997446,0.52949610
-271.51997446,0.57359540
-271.35997446,0.66179390
-271.19997446,0.75014500
-271.03997446,0.79424420
-270.87997447,0.88244270
-270.71997447,0.92654190
-270.55997447,1.01489300
-270.39997447,1.10309100
-270.23997447,1.14719100
-270.07997447,1.19144300
-269.91997447,1.23554200
-269.75997447,1.27964100
-269.59997447,1.36784000
-269.43997447,1.36784000
-269.27997448,1.45619100
-269.11997448,1.45619100
-268.95997448,1.50029000
-268.79997448,1.54438900
-268.63997448,1.58848800
-268.47997448,1.63274000
-268.31997448,1.63274000
-268.15997448,1.67683900
-267.99997448,1.67683900
-267.83997448,1.72093900
-267.67997448,1.72093900
-267.51997449,1.72093900
-267.35997449,1.72093900
-267.19997449,1.72093900
-267.03997449,1.72093900
-266.87997449,1.72093900
-266.71997449,1.67683900
-266.55997449,1.63274000
-266.39997449,1.63274000
-266.23997449,1.63274000
-266.07997449,1.54438900
-265.91997450,1.54438900
-265.75997450,1.50029000
-265.59997450,1.45619100
-265.43997450,1.36784000
-265.27997450,1.32374000
-265.11997450,1.27964100
-264.95997450,1.19144300
-264.79997450,1.14719100
-264.63997450,1.10309100
-264.47997450,1.01489300
-264.31997451,0.92654190
-264.15997451,0.83834340
-263.99997451,0.75014500
-263.83997451,0.66179390
-263.67997451,0.57359540
-263.51997451,0.48524430
-263.35997451,0.39704580
-263.19997451,0.30884730
-263.03997451,0.22049620
-262.87997451,0.13229770
